Date,Pe-ratio,Price-book,Total_Assets,Cash_Equivalents,Cash_Equivalents_to_Assets_Ratio,Cash_and_Cash_Equivalents,Short-Term_Investments
2024-12-31,10.98,0.93,"$1,153,881,000,000",330805000000,0.29,"44,333","286,472"
2024-09-30,9.3,0.97,"$1,147,251,000,000",320318000000,0.28,"32,287","288,031"
2024-06-30,12.94,0.89,"$1,108,860,000,000",271502000000,0.24,"36,884","234,618"
2024-03-31,12.41,0.95,"$1,070,035,000,000",263509000000,0.25,"28,891","234,618"
2023-12-31,8.06,0.82,"$1,069,978,000,000",163291000000,0.15,"33,672","129,619"
2023-09-30,9.96,0.86,"$1,019,933,000,000",151974000000,0.15,"25,573","126,401"
2023-06-30,8.56,0.81,"$1,041,573,000,000",141933000000,0.14,"44,611","97,322"
2023-03-31,89.24,0.78,"$997,072,000,000",127674000000,0.13,"23,805","103,869"
2022-12-31,0,0.84,"$948,465,000,000",125034000000,0.13,"32,260","92,774"
2022-09-30,0,0.75,"$902,296,000,000",105201000000,0.12,"28,869","76,332"
2022-06-30,54.5,0.76,"$909,860,000,000",101337000000,0.11,"26,534","74,803"
2022-03-31,9.49,0.88,"$969,506,000,000",102687000000,0.11,"35,542","67,145"
2021-12-31,7.51,0.75,"$958,784,000,000",143854000000,0.15,"85,319","58,535"
2021-09-30,7.31,0.74,"$920,758,000,000",144365000000,0.16,"65,156","79,209"
2021-06-30,6.12,0.77,"$912,493,000,000",140684000000,0.15,"38,924","101,760"
2021-03-31,5.81,0.75,"$884,393,000,000",142211000000,0.16,"56,826","85,385"
2020-12-31,12.57,0.69,"$873,729,000,000",135014000000,0.15,"44,714","90,300"
2020-09-30,14.16,0.7,"$829,946,000,000",141984000000,0.17,"23,078","118,906"
2020-06-30,19.55,0.63,"$788,133,000,000",142836000000,0.18,"32,318","110,518"
2020-03-31,45.82,0.68,"$760,448,000,000",133340000000,0.18,"38,717","94,623"
2019-12-31,6.81,0.73,"$817,729,000,000",124973000000,0.15,"61,151","63,822"
2019-09-30,18.93,0.72,"$788,482,000,000",124442000000,0.16,"71,064","53,378"
2019-06-30,18.13,0.76,"$760,108,000,000",119120000000,0.16,"41,375","77,745"
2019-03-31,18.45,0.74,"$738,724,000,000",110516000000,0.15,"22,487","88,029"
2018-12-31,126.04,0.79,"$707,794,000,000",109255000000,0.15,"27,749","81,506"
2018-09-30,8.52,0.77,"$736,459,000,000",96453000000,0.13,"36,506","59,947"
2018-06-30,9.7,0.7,"$711,932,000,000",103161000000,0.14,"57,918","45,243"
2018-03-31,12.38,0.76,"$702,651,000,000",98599000000,0.14,"50,559","48,040"
2017-12-31,10.88,0.76,"$702,095,000,000",103975000000,0.15,"25,460","78,515"
2017-09-30,24.18,0.79,"$681,554,000,000",96599000000,0.14,"35,247","61,352"
2017-06-30,19.14,0.73,"$665,590,000,000",86150000000,0.13,"20,142","66,008"
2017-03-31,18.22,0.74,"$654,451,000,000",79414000000,0.12,"18,362","61,052"
2016-12-31,16.68,0.74,"$620,854,000,000",70919000000,0.11,"23,581","47,338"
2016-09-30,15.3,0.68,"$604,038,000,000",92882000000,0.15,"68,269","24,613"
2016-06-30,14,0.69,"$592,816,000,000",85532000000,0.14,"61,788","23,744"
2016-03-31,14.27,0.68,"$586,315,000,000",78106000000,0.13,"53,587","24,519"
2015-12-31,13.51,0.64,"$552,257,000,000",87169000000,0.16,"61,181","25,988"
2015-09-30,14.11,0.65,"$545,468,000,000",66260000000,0.12,"66,260",
2015-06-30,18.67,0.68,"$540,774,000,000",66587000000,0.12,"66,587",
2015-03-31,17.49,0.72,"$531,076,000,000",63711000000,0.12,63711,
2014-12-31,18.63,0.76,"$525,867,000,000",63269000000,0.12,"63,269",
2014-09-30,16.46,0.7,"$517,363,000,000",62380000000,0.12,62380,
2014-06-30,14.77,0.63,"$504,379,000,000",55455000000,0.11,55455,
2014-03-31,15.98,0.64,"$494,944,000,000",48948000000,0.10,48948,
2013-12-31,15.03,0.62,"$484,931,000,000",48186000000,0.10,48186,
2013-09-30,14.72,0.63,"$458,081,000,000",42079000000,0.09,42079,
2013-06-30,15.46,0.62,"$446,563,000,000",35695000000,0.08,35695,
2013-03-31,15.67,0.58,"$442,302,000,000",49089000000,0.11,49089,
2012-12-31,15,0.53,"$427,452,000,000",46992000000,0.11,46992,
2012-09-30,16.42,0.51,"$424,115,000,000",47776000000,0.11,47776,
2012-06-30,17.69,0.5,"$411,356,000,000",40661000000,0.10,40661,
2012-03-31,16.77,0.49,"$411,362,000,000",37826000000,0.09,37826,
2011-12-31,18.43,0.48,"$392,647,000,000",37299000000,0.09,37299,
2011-09-30,15.15,0.46,"$385,494,000,000",34776000000,0.09,34776,
2011-06-30,15.54,0.49,"$382,696,000,000",47891000000,0.13,47891,
2011-03-31,19.01,0.54,"$376,496,000,000",41178000000,0.11,41178,
2010-12-31,15.12,0.52,"$372,229,000,000",38227000000,0.10,38227,
2010-09-30,17.12,0.55,"$363,979,000,000",34461000000,0.09,34461,
2010-06-30,15.91,0.53,"$349,187,000,000",27953000000,0.08,27953,
2010-03-31,14.44,0.51,"$356,320,000,000",25670000000,0.07,25670,
2009-12-31,18.99,0.36,"$297,119,000,000",30558000000,0.10,30558,
