Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1,Pct_Change_3M,Pct_Change_6M,Pct_Change_9M,Pct_Change_12M,Pct_Change_18M,BRK_Close_lag1_pct,BRK_Close_lag2_pct
2010-01-31,68.34842079564145,10471.235300164473,1123.5815815172698,,,,,79.45857166108631,78.5066662742978,82.66190519787017,81.16600036621094,76.12399940490722,,,,,,,,,16.255168350800222,14.862443580121667,20.941938724561563,18.753292938389095,11.376383709748602,,
2010-02-28,76.51736891897102,10214.50627055921,1089.1599892064144,,,,,74.83600044250488,78.3822732405229,80.68333326067243,84.22999974300987,71.06130384362262,,,,,,,,,-2.197368388668249,2.4372300667143336,5.444468884068673,10.079581842661419,-7.130492269181598,,
2010-03-31,82.11913034190302,10677.518766983696,1152.0486901324728,14.44,0.51,0.07,18.91,76.22090911865234,82.47571491059803,80.20590868863192,84.67434758725373,69.73952447800409,,,,,,,,,-7.182517884314443,0.4342283791978468,-2.329812365651457,3.1115980341146705,-15.075178965432828,,
2010-04-30,79.45857166108631,11052.147646949405,1197.316185360863,14.44,0.51,0.07,19.01,78.5066662742978,82.66190519787017,81.16600036621094,82.03050003051757,75.11999947684151,,,,,,,,68.34842079564145,-1.197989552151354,4.031451195029026,2.1488288417860093,3.2368167658503566,-5.4601688572380285,16.255168350800222,
2010-05-31,74.83600044250488,10500.127001953126,1125.0620056152343,14.44,0.51,0.07,19.01,78.3822732405229,80.68333326067243,84.22999974300987,79.67952437627883,75.83380962553478,,,,,,,,76.51736891897102,4.738725716298213,7.813529295515923,12.552781074560798,6.472184383363916,1.333327779584505,-2.197368388668249,
2010-06-30,76.22090911865234,10159.26717862216,1083.3608953302557,15.91,0.53,0.08,16.15,82.47571491059803,80.20590868863192,84.67434758725373,75.64090936834162,76.68571435837518,,,,,,,,82.11913034190302,8.206154799608715,5.228223614830109,11.090708004337769,-0.7609457260708336,0.6098132980797667,-7.182517884314443,
2010-07-31,78.5066662742978,10222.242420014882,1079.8033360072545,15.91,0.53,0.08,16.15,82.66190519787017,81.16600036621094,82.03050003051757,76.12399940490722,78.2895004272461,-0.023778749403681188,-0.0937787494036812,,,,,,79.45857166108631,5.292848519454644,3.3873990810176258,4.488579025770498,-3.0349866864371418,-0.27662090031047554,-1.197989552151354,16.255168350800222
2010-08-31,78.3822732405229,10350.396351207386,1087.2822709517045,15.91,0.53,0.08,15.47,80.68333326067243,84.22999974300987,79.67952437627883,71.06130384362262,79.28200035095215,0.013303636715153333,-0.056696363284846674,,,,,,74.83600044250488,2.935689314710886,7.460521697989927,1.6550312744505369,-9.340083024174666,1.1478706514014305,4.738725716298213,-2.197368388668249
2010-09-30,82.47571491059803,10598.066127232143,1122.0819033668154,17.12,0.55,0.09,15.61,80.20590868863192,84.67434758725373,75.64090936834162,69.73952447800409,80.45727261629972,-0.007441114502859114,-0.07744111450285912,,,,,,76.22090911865234,-2.752090387366184,2.6657940207477777,-8.287052194291608,-15.44235226866443,-2.447317124181658,8.206154799608715,-7.182517884314443
2010-10-31,82.66190519787017,11044.485305059523,1171.5838099888392,17.12,0.55,0.09,15.61,81.16600036621094,82.03050003051757,76.12399940490722,75.11999947684151,80.00100021362304,-0.0006932898595501946,-0.0706932898595502,,,,,,78.5066662742978,-1.8096665302819255,-0.7638405694148762,-7.90921256570723,-9.1237985659481,-3.2190220850555535,5.292848519454644,-1.197989552151354
2010-11-30,80.68333326067243,11198.306640625,1198.8885614304315,17.12,0.55,0.09,15.88,84.22999974300987,79.67952437627883,71.06130384362262,75.83380962553478,80.48454596779563,0.06649249466620799,-0.003507505333792016,,,,,,78.3822732405229,4.395785770127818,-1.2441341276152758,-11.925671669962945,-6.010564312544896,-0.24637962370066885,2.935689314710886,4.738725716298213
2010-12-31,80.20590868863192,11465.25732421875,1241.5254516601562,15.12,0.52,0.1,16.05,84.67434758725373,75.64090936834162,69.73952447800409,76.68571435837518,81.25714365641277,0.12855160934685772,0.058551609346857714,,,,,,82.47571491059803,5.571209118730615,-5.691599777283395,-13.049392970858895,-4.388946385387292,1.3106702298727786,-2.752090387366184,8.206154799608715
2011-01-31,81.16600036621094,11802.370458984375,1282.6184997558594,15.12,0.52,0.1,16.3,82.03050003051757,76.12399940490722,75.11999947684151,78.2895004272461,84.07714298793248,0.15457743751758857,0.08457743751758856,-0.0937787494036812,,,,,82.66190519787017,1.0651007323338832,-6.211961829528165,-7.4489328808745245,-3.5439715225419874,3.586652796228499,-1.8096665302819255,5.292848519454644
2011-02-28,84.22999974300987,12190.000513980263,1321.1178877981085,15.12,0.52,0.1,16.52,79.67952437627883,71.06130384362262,75.83380962553478,79.28200035095215,84.9660876730214,0.17773272639537963,0.10773272639537962,-0.056696363284846674,,,,,80.68333326067243,-5.402440200183751,-15.634211016936511,-9.968170655458033,-5.874390843113296,0.8739023296419072,4.395785770127818,2.935689314710886
2011-03-31,84.67434758725373,12081.476477581522,1304.4865138841712,19.01,0.54,0.11,16.04,75.64090936834162,69.73952447800409,76.68571435837518,80.45727261629972,87.70684252287212,0.1399699089004265,0.06996990890042648,-0.07744111450285912,,,,,80.20590868863192,-10.66844738260722,-17.637954746400467,-9.43453768054908,-4.980345395172344,3.5813620323363176,5.571209118730615,-2.752090387366184
2011-04-30,82.03050003051757,12434.8765625,1331.5050109863282,19.01,0.54,0.11,16.04,76.12399940490722,75.11999947684151,78.2895004272461,80.00100021362304,88.8028578985305,0.12589009075900837,0.05589009075900836,-0.0706932898595502,,,,,81.16600036621094,-7.200371353841523,-8.424306265480723,-4.560498353514513,-2.4740795388782213,8.255902213802708,1.0651007323338832,-1.8096665302819255
2011-05-31,79.67952437627883,12579.992885044643,1338.3104654947917,19.01,0.54,0.11,16.12,71.06130384362262,75.83380962553478,79.28200035095215,80.48454596779563,86.73904818580264,0.1233834979484476,0.0533834979484476,-0.003507505333792016,,,,,84.22999974300987,-10.816104388321268,-4.826478045454985,-0.498903612237217,1.010324293246474,8.859897024718537,-5.402440200183751,4.395785770127818
2011-06-30,75.64090936834162,12097.30948153409,1287.2886408025568,15.54,0.49,0.13,15.35,69.73952447800409,76.68571435837518,80.45727261629972,81.25714365641277,88.86350059509277,0.05512760328372379,-0.014872396716276215,0.058551609346857714,,,,,84.67434758725373,-7.801842864685965,1.3812697371811904,6.367405268099422,7.424863522888492,17.48074069596692,-10.66844738260722,5.571209118730615
2011-07-31,76.12399940490722,12512.325537109375,1325.184503173828,15.54,0.49,0.13,15.35,75.11999947684151,78.2895004272461,80.00100021362304,84.07714298793248,95.32190486363002,0.0601536005493335,-0.00984639945066651,0.08457743751758856,-0.0937787494036812,,,,82.03050003051757,-1.3189006567106203,2.8447021166353443,5.093007250044583,10.447616579788587,25.219254911461253,-7.200371353841523,1.0651007323338832
2011-08-31,71.06130384362262,11326.617866847826,1185.3056534476902,15.54,0.49,0.13,13.79,75.83380962553478,79.28200035095215,80.48454596779563,84.9660876730214,98.93052633185135,-0.07082712147077075,-0.14082712147077076,0.10773272639537962,-0.056696363284846674,,,,79.67952437627883,6.716040269137935,11.568457180887041,13.260722241896616,19.567307489878914,39.218563382340534,-10.816104388321268,-5.402440200183751
2011-09-30,69.73952447800409,11175.453869047618,1173.8790573846727,15.15,0.46,0.09,13.5,76.68571435837518,80.45727261629972,81.25714365641277,87.70684252287212,102.93950004577637,-0.0749927055865337,-0.1449927055865337,0.06996990890042648,-0.07744111450285912,,,,75.64090936834162,9.96019105717007,15.368255259147947,16.515196030683217,25.763465092932986,47.60568101986928,-7.801842864685965,-10.66844738260722
2011-10-31,75.11999947684151,11515.930943080357,1207.2161865234375,15.15,0.46,0.09,13.88,78.2895004272461,80.00100021362304,84.07714298793248,88.8028578985305,105.62227283824573,-0.07390066276901519,-0.1439006627690152,0.05589009075900836,-0.0706932898595502,,,,76.12399940490722,4.219250495843916,6.497604859923191,11.92378004988183,18.214667887354327,40.6047305295944,-1.3189006567106203,-7.200371353841523
