Date,SP500_PE
2024-12-31,30.01
2024-11-30,29.61
2024-10-31,28.92
2024-09-30,28.07
2024-08-31,27.55
2024-07-31,28.06
2024-06-30,27.64
2024-05-31,26.93
2024-04-30,26.41
2024-03-31,27.02
2024-02-29,26.14
2024-01-31,25.01
2023-12-31,24.35
2023-11-30,23.51
2023-10-31,22.78
2023-09-30,23.93
2023-08-31,24.16
2023-07-31,24.76
2023-06-30,24.01
2023-05-31,23.15
2023-04-30,23.27
2023-03-31,22.66
2023-02-28,23.4
2023-01-31,22.82
2022-12-31,22.65
2022-11-30,22.07
2022-10-31,20.44
2022-09-30,20.58
2022-08-31,22.03
2022-07-31,20.53
2022-06-30,20.28
2022-05-31,20.81
2022-04-30,22.4
2022-03-31,22.19
2022-02-28,22.42
2022-01-31,23.11
2021-12-31,23.63
2021-11-30,24.52
2021-10-31,24.39
2021-09-30,25.35
2021-08-31,26.23
2021-07-31,26.56
2021-06-30,26.7
2021-05-31,28.05
2021-04-30,29.92
2021-03-31,30.5
2021-02-28,33.24
2021-01-31,35.96
2020-12-31,39.26
2020-11-30,37.16
2020-10-31,35.3
2020-09-30,34.27
2020-08-31,34.41
2020-07-31,32.44
2020-06-30,31.29
2020-05-31,27.82
2020-04-30,24.97
2020-03-31,22.8
2020-02-29,26.42
2020-01-31,24.88
2019-12-31,22.78
2019-11-30,22.62
2019-10-31,22.04
2019-09-30,22.44
2019-08-31,21.67
2019-07-31,22.28
2019-06-30,21.37
2019-05-31,21.15
2019-04-30,21.56
2019-03-31,20.86
2019-02-28,20.6
2019-01-31,19.6
2018-12-31,19.39
2018-11-30,20.67
2018-10-31,21.25
2018-09-30,22.25
2018-08-31,22.37
2018-07-31,22.33
2018-06-30,22.49
2018-05-31,22.49
2018-04-30,22.53
2018-03-31,23.41
2018-02-28,23.82
2018-01-31,24.97
2017-12-31,24.25
2017-11-30,23.81
2017-10-31,23.67
2017-09-30,23.28
2017-08-31,23.16
2017-07-31,23.36
2017-06-30,23.4
2017-05-31,23.31
2017-04-30,23.24
2017-03-31,23.6
2017-02-28,23.68
2017-01-31,23.59
2016-12-31,23.76
2016-11-30,23.35
2016-10-31,23.57
2016-09-30,24.22
2016-08-31,24.57
2016-07-31,24.52
2016-06-30,23.97
2016-05-31,23.81
2016-04-30,23.97
2016-03-31,23.39
2016-02-29,22.02
2016-01-31,22.18
2015-12-31,23.74
2015-11-30,23.67
2015-10-31,22.68
2015-09-30,21.45
2015-08-31,22.15
2015-07-31,22.4
2015-06-30,22.12
2015-05-31,21.92
2015-04-30,21.42
2015-03-31,20.96
2015-02-28,20.77
2015-01-31,20.02
2014-12-31,20.08
2014-11-30,19.75
2014-10-31,18.5
2014-09-30,18.81
2014-08-31,18.68
2014-07-31,18.96
2014-06-30,18.88
2014-05-31,18.46
2014-04-30,18.35
2014-03-31,18.48
2014-02-28,18.06
2014-01-31,18.15
2013-12-31,18.04
2013-11-30,18.15
2013-10-31,17.86
2013-09-30,17.88
2013-08-31,17.91
2013-07-31,18.12
2013-06-30,17.8
2013-05-31,18.25
2013-04-30,17.69
2013-03-31,17.68
2013-02-28,17.32
2013-01-31,17.03
2012-12-31,16.44
2012-11-30,16.12
2012-10-31,16.62
2012-09-30,16.69
2012-08-31,16.14
2012-07-31,15.55
2012-06-30,15.05
2012-05-31,15.22
2012-04-30,15.7
2012-03-31,15.69
2012-02-29,15.37
2012-01-31,14.87
2011-12-31,14.3
2011-11-30,14.1
2011-10-31,13.88
2011-09-30,13.5
2011-08-31,13.79
2011-07-31,15.61
2011-06-30,15.35
2011-05-31,16.12
2011-04-30,16.21
2011-03-31,16.04
2011-02-28,16.52
2011-01-31,16.3
2010-12-31,16.05
2010-11-30,15.88
2010-10-31,15.9
2010-09-30,15.61
2010-08-31,15.47
2010-07-31,15.72
2010-06-30,16.15
2010-05-31,17.3
2010-04-30,19.01
2010-03-31,18.91
2010-02-28,18.91
2010-01-31,20.7
