Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1
2010-03-31,76.08508200723617,10469.049532530738,1123.593601914703,14.44,0.51,0.07,18.91,76.86047641814702,79.7662502527237,81.16843748092651,83.40645156368133,72.20968735218048,,,,,,,,
2010-06-30,76.86047641814702,10565.103469122023,1134.5844397166418,15.91,0.53,0.08,16.15,79.7662502527237,81.16843748092651,83.40645156368133,79.01555585104322,75.87984115358383,,,,,,,,76.08508200723617
2010-09-30,79.7662502527237,10389.612487792969,1096.2468748092651,17.12,0.55,0.09,15.61,81.16843748092651,83.40645156368133,79.01555585104322,72.20968735218048,79.3788711793961,-0.0075877991111736875,-0.0775877991111737,,,,,,76.86047641814702
2010-12-31,81.16843748092651,11239.59831237793,1204.585620880127,15.12,0.52,0.1,16.05,83.40645156368133,79.01555585104322,72.20968735218048,75.87984115358383,80.5885719420418,0.06384176408941111,-0.006158235910588894,,,,,,79.7662502527237
2011-03-31,83.40645156368133,12024.699644027218,1302.529027138987,19.01,0.54,0.11,16.04,79.01555585104322,72.20968735218048,75.87984115358383,79.3788711793961,85.49634963747054,0.1573771070052281,0.0873771070052281,-0.0775877991111737,,,,,81.16843748092651
2011-06-30,79.01555585104322,12365.368102058532,1318.3328586154514,15.54,0.49,0.13,15.35,72.20968735218048,75.87984115358383,79.3788711793961,80.5885719420418,88.1233877366589,0.10016103408613963,0.030161034086139626,-0.006158235910588894,,,,,83.40645156368133
2011-09-30,72.20968735218048,11647.550827026367,1225.2684421539307,15.15,0.46,0.09,13.5,75.87984115358383,79.3788711793961,80.5885719420418,85.49634963747054,99.00383338928222,-0.031364510396580614,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,,,,79.01555585104322
2011-12-31,75.87984115358383,11798.647925967261,1225.6512683686756,15.15,0.46,0.09,13.5,79.3788711793961,80.5885719420418,85.49634963747054,88.1233877366589,110.018749833107,-0.04583124185336018,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,,,,72.20968735218048
2012-03-31,79.3788711793961,12847.563775831653,1348.783715032762,18.43,0.48,0.09,13.5,80.5885719420418,85.49634963747054,88.1233877366589,99.00383338928222,115.36187481880188,0.10302706265259132,0.03302706265259131,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,,,75.87984115358383
2012-06-30,80.5885719420418,12760.665690104166,1349.6785656156994,16.77,0.49,0.09,13.5,85.49634963747054,88.1233877366589,99.00383338928222,110.018749833107,115.63406240940094,0.08153627179768885,0.011536271797688846,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,,,79.3788711793961
2012-09-30,85.49634963747054,13113.575830853175,1400.9457155257937,17.69,0.5,0.1,13.5,88.1233877366589,99.00383338928222,110.018749833107,115.36187481880188,116.85327861348136,0.020705252736081592,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,,80.5885719420418
2012-12-31,88.1233877366589,13140.35791015625,1418.1390302104335,15.0,0.53,0.11,16.44,99.00383338928222,110.018749833107,115.36187481880188,115.63406240940094,126.57269771515377,0.029754891262963934,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,,85.49634963747054
2013-03-31,99.00383338928222,13994.436848958334,1513.9799967447916,15.0,0.53,0.11,16.44,110.018749833107,115.36187481880188,115.63406240940094,116.85327861348136,133.20843696594238,0.06717168752955227,-0.002828312470447736,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,88.1233877366589
2013-06-30,110.018749833107,14958.954040527344,1609.4912509918213,15.67,0.58,0.11,16.44,115.36187481880188,115.63406240940094,116.85327861348136,126.57269771515377,144.36593651771545,0.1383977622835899,0.0683977622835899,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,99.00383338928222
2013-09-30,115.36187481880188,15285.608413696289,1674.9435920715332,14.72,0.63,0.09,17.88,115.63406240940094,116.85327861348136,126.57269771515377,133.20843696594238,147.13524465091893,0.09226320277647071,0.022263202776470703,-0.002828312470447736,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,0.0873771070052281,110.018749833107
2013-12-31,115.63406240940094,15735.64892578125,1768.6673469543457,15.03,0.62,0.1,18.04,116.85327861348136,126.57269771515377,133.20843696594238,144.36593651771545,142.63253929501488,0.05192173751919116,-0.01807826248080885,0.0683977622835899,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,0.030161034086139626,115.36187481880188
