Date,SP500_PE
2010-03-31,18.91
2010-06-30,16.15
2010-09-30,15.61
2010-12-31,16.05
2011-03-31,16.04
2011-06-30,15.35
2011-09-30,13.5
2011-12-31,14.3
2012-03-31,15.69
2012-06-30,15.05
2012-09-30,16.69
2012-12-31,16.44
2013-03-31,17.68
2013-06-30,17.8
2013-09-30,17.88
2013-12-31,18.04
2014-03-31,18.48
2014-06-30,18.88
2014-09-30,18.81
2014-12-31,20.08
2015-03-31,20.96
2015-06-30,22.12
2015-09-30,21.45
2015-12-31,23.74
2016-03-31,23.39
2016-06-30,23.97
2016-09-30,24.22
2016-12-31,23.76
2017-03-31,23.6
2017-06-30,23.4
2017-09-30,23.28
2017-12-31,24.25
2018-03-31,23.41
2018-06-30,22.49
2018-09-30,22.25
2018-12-31,19.39
2019-03-31,20.86
2019-06-30,21.37
2019-09-30,22.44
2019-12-31,22.78
2020-03-31,22.8
2020-06-30,31.29
2020-09-30,34.27
2020-12-31,39.26
2021-03-31,30.5
2021-06-30,26.7
2021-09-30,25.35
2021-12-31,23.63
2022-03-31,22.19
2022-06-30,20.28
2022-09-30,20.58
2022-12-31,22.65
2023-03-31,22.66
2023-06-30,24.01
2023-09-30,23.93
2023-12-31,24.35
2024-03-31,27.02
2024-06-30,27.64
2024-09-30,28.07
2024-12-31,30.01
